nohup: ignoring input
name:3pro,index:0
name:4pro,index:1
name:Dji,index:2
name:dao,index:3
name:ha,index:4
name:3pro,index:0
name:4pro,index:1
name:Dji,index:2
name:dao,index:3
name:ha,index:4
Train: [1][10/1465]	BT 0.056 (0.515)	DT 0.000 (0.100)	loss 0.840 (1.279)	Acc@1 84.375 (66.875)
Train: [1][20/1465]	BT 0.046 (0.283)	DT 0.000 (0.050)	loss 0.220 (0.864)	Acc@1 93.750 (78.906)
Train: [1][30/1465]	BT 0.043 (0.206)	DT 0.000 (0.033)	loss 0.091 (0.670)	Acc@1 96.875 (83.333)
Train: [1][40/1465]	BT 0.050 (0.167)	DT 0.000 (0.025)	loss 0.299 (0.558)	Acc@1 87.500 (85.859)
Train: [1][50/1465]	BT 0.058 (0.144)	DT 0.000 (0.020)	loss 0.100 (0.483)	Acc@1 100.000 (87.375)
Train: [1][60/1465]	BT 0.052 (0.129)	DT 0.000 (0.017)	loss 0.080 (0.419)	Acc@1 96.875 (89.323)
Train: [1][70/1465]	BT 0.055 (0.118)	DT 0.000 (0.014)	loss 0.078 (0.373)	Acc@1 100.000 (90.759)
Train: [1][80/1465]	BT 0.058 (0.109)	DT 0.000 (0.013)	loss 0.113 (0.337)	Acc@1 96.875 (91.797)
Train: [1][90/1465]	BT 0.052 (0.103)	DT 0.000 (0.011)	loss 0.076 (0.309)	Acc@1 100.000 (92.569)
Train: [1][100/1465]	BT 0.042 (0.098)	DT 0.000 (0.010)	loss 0.070 (0.284)	Acc@1 100.000 (93.250)
Train: [1][110/1465]	BT 0.054 (0.094)	DT 0.000 (0.009)	loss 0.049 (0.265)	Acc@1 100.000 (93.807)
Train: [1][120/1465]	BT 0.052 (0.091)	DT 0.000 (0.009)	loss 0.062 (0.248)	Acc@1 100.000 (94.297)
Train: [1][130/1465]	BT 0.056 (0.088)	DT 0.000 (0.008)	loss 0.033 (0.233)	Acc@1 100.000 (94.663)
Train: [1][140/1465]	BT 0.050 (0.085)	DT 0.000 (0.007)	loss 0.043 (0.220)	Acc@1 100.000 (95.022)
Train: [1][150/1465]	BT 0.056 (0.083)	DT 0.000 (0.007)	loss 0.025 (0.208)	Acc@1 100.000 (95.333)
Train: [1][160/1465]	BT 0.052 (0.081)	DT 0.000 (0.006)	loss 0.037 (0.198)	Acc@1 100.000 (95.605)
Train: [1][170/1465]	BT 0.054 (0.079)	DT 0.000 (0.006)	loss 0.025 (0.189)	Acc@1 100.000 (95.809)
Train: [1][180/1465]	BT 0.055 (0.078)	DT 0.000 (0.006)	loss 0.021 (0.180)	Acc@1 100.000 (96.042)
Train: [1][190/1465]	BT 0.057 (0.077)	DT 0.000 (0.005)	loss 0.028 (0.172)	Acc@1 100.000 (96.234)
Train: [1][200/1465]	BT 0.059 (0.075)	DT 0.000 (0.005)	loss 0.047 (0.165)	Acc@1 100.000 (96.422)
Train: [1][210/1465]	BT 0.042 (0.074)	DT 0.000 (0.005)	loss 0.063 (0.159)	Acc@1 100.000 (96.592)
Train: [1][220/1465]	BT 0.044 (0.073)	DT 0.000 (0.005)	loss 0.023 (0.153)	Acc@1 100.000 (96.747)
Train: [1][230/1465]	BT 0.056 (0.072)	DT 0.000 (0.005)	loss 0.016 (0.149)	Acc@1 100.000 (96.807)
Train: [1][240/1465]	BT 0.057 (0.071)	DT 0.000 (0.004)	loss 0.019 (0.144)	Acc@1 100.000 (96.940)
Train: [1][250/1465]	BT 0.057 (0.071)	DT 0.000 (0.004)	loss 0.022 (0.139)	Acc@1 100.000 (97.063)
Train: [1][260/1465]	BT 0.044 (0.070)	DT 0.000 (0.004)	loss 0.032 (0.135)	Acc@1 100.000 (97.163)
Train: [1][270/1465]	BT 0.056 (0.069)	DT 0.000 (0.004)	loss 0.022 (0.131)	Acc@1 100.000 (97.245)
Train: [1][280/1465]	BT 0.057 (0.069)	DT 0.000 (0.004)	loss 0.070 (0.128)	Acc@1 96.875 (97.299)
Train: [1][290/1465]	BT 0.053 (0.068)	DT 0.000 (0.004)	loss 0.023 (0.124)	Acc@1 100.000 (97.392)
Train: [1][300/1465]	BT 0.053 (0.068)	DT 0.000 (0.004)	loss 0.043 (0.121)	Acc@1 100.000 (97.479)
Train: [1][310/1465]	BT 0.053 (0.067)	DT 0.000 (0.003)	loss 0.024 (0.118)	Acc@1 100.000 (97.550)
Train: [1][320/1465]	BT 0.052 (0.067)	DT 0.000 (0.003)	loss 0.105 (0.115)	Acc@1 93.750 (97.607)
Train: [1][330/1465]	BT 0.043 (0.066)	DT 0.000 (0.003)	loss 0.018 (0.113)	Acc@1 100.000 (97.680)
